twitId,twitContent,userName
1597692982693888001,"As the world watches the #WorldCup, the Islamic Republic of Iran tortured to death another athlete

1-His name is H https://t.co/NNDX9jAAl3",AlinejadMasih
1597690583291940864,"A #WorldCup brace for Marcus 

#MUFC https://t.co/JML2Bcarz2",ManUtd
1597713431418744833,"Leading the way! 

#MUFC || #WorldCup https://t.co/rTilhB7WhM",ManUtd
1597965156398804994,"RT @bmay: A different slant on America and Iran. Beautiful. #WorldCup 
https://t.co/lg3RCzCe4o",ossianshine
1597965154737860610,RT @SabineStl: Gooooooooo #usa 1. #iran 0. #pulisic #IRNUSA #WorldCup #Qatar2022 #WorldCup2022 https://t.co/LWW3FPiBqR,Day1Cock
1597965151449350146,"RT @Engabiholidays: Book affordable gorilla trekking and wildlife tours to Uganda, Rwanda and Tanzania.
#VisitRwanda #Tanzaniasafari #goril",tanzaniaRt
1597965142548893696,"World Cup 2022nin ark edilen toplar
#worldcup #fifaworldcup #dnyakupas #dnyakupastopu #arjltop #arj #top https://t.co/KuW4LiRJjp",Futbolmedya
1597965141379002370,"RT @MoseaxKenya: Finally Tumefikiwa, The #QataaKuLose Tour  by @SportPesa is in Nakuru City today. 
Tupatane pale Maasai Market from 5pm. L",5ive_people
1597965141077024771,"RT @gyanjarahatke: According to Qatar dictatorship, You can not make any political statement  in #Qatar2022 #WorldCup.
But this shit is all",Rusi2610
1597965138182930433,"RT @pooyanmokari: #Iran, Letzte Nacht wurde Mehran von der Polizei in Anzali erschossen. Bevor er auf der Strae auftauchte, forderte er in",arezoom79
1597965135918034945,"RT @JosephChenault3: #FIFAWorldCupQatar2022 #Crypto tokens will be bullish in the upcoming time, it's a must buy if you want to have profit",SimonVerara
1597965135301468161,"RT @LastWordFC: Will #Argentina have to rotate the squad around #Messi for a #WorldCup result against #Poland?

https://t.co/YFka8uG2T8",Dale_OUFC
1597965134215151616,"RT @oudalsamr:     
    
   500  

  

#__",abwnwaf10760368
1597965133451780097,"RT @maxienxa: Like feet? 
I do video and picture request on my only fans. I would be more than happy to meet all of your needs. 
Subscribe",BrandiL04090144
