twitId,twitContent,userName
1597287781814128641," @Casemiros winner has booked Brazils place in the knockout stages of the #WorldCup! 

#MUFC https://t.co/kkoJY8epmp",ManUtd
1597284312432320512,"CASEMIROOOO  

#MUFC || #WorldCup",ManUtd
1597342467195817984," A mixed night for our Reds...

 Congrats to @B_Fernandes8 and @DalotDiogo on your victory 
 Commiserations, https://t.co/rzxVt1AM9e",ManUtd
1597626742557929474,"RT @sarahpromos: PUBLIC SALE IS NOW LIVE!
 
#Mint . #Stake . #Earn $BIB
 
It's your chance to own and collect the hottest #WORLDCUP #NFT an",Kerabatpickaw
1597626742402797569,RT @Ashrafi4ever: As talks of #WorldCup2022 &amp; Iran's un-patriotic team have been circulating thought a flashback would be fit to #WorldCup,SabaghSabereh
1597626742302445571,"RT @OnsOranje: First #WorldCup goal  !

 @DeJongFrenkie21 

#NEDQAT https://t.co/RDomDExYeY",CarlettoB13
1597626738233991169,RT @BeatinTheBookie: #USA #WorldCup https://t.co/RpxY8Uzg8y,habibidor
1597626736669491200,"#Ecuador #Senegal #EcuadorvsSenegal #FIFAWorldCup2022 | #Netherlands #Qatar #WorldCup #NetherlandsvsQatar

Live St https://t.co/nvCPhjzD7m",Angelic89356081
1597626728708726784,"#Ecuador #Senegal #EcuadorvsSenegal #FIFAWorldCup2022 | #Netherlands #Qatar #WorldCup #NetherlandsvsQatar

Live St https://t.co/MhPWgGAGGe",Angelic89356081
1597626722882818051,"#Ecuador #Senegal #EcuadorvsSenegal #FIFAWorldCup2022 | #Netherlands #Qatar #WorldCup #NetherlandsvsQatar

Live St https://t.co/gAOt1sNcK9",Angelic89356081
1597626716692021249,"#Ecuador #Senegal #EcuadorvsSenegal #FIFAWorldCup2022 | #Netherlands #Qatar #WorldCup #NetherlandsvsQatar

Live St https://t.co/C4ZeitXa5Y",Angelic89356081
1597626712824909824,"RT @OnsOranje: First #WorldCup goal  !

 @DeJongFrenkie21 

#NEDQAT https://t.co/RDomDExYeY",dinharr
1597626709402357763,"#Ecuador #Senegal #EcuadorvsSenegal #FIFAWorldCup2022 | #Netherlands #Qatar #WorldCup #NetherlandsvsQatar

Live St https://t.co/SNRAxtLeqo",Angelic89356081
1597626707850117120,"RT @FomoSportsnft: FomoSports #WorldCup NFT 
Mint to Win 124,000

Choose 1 team
Get Passive Dividend &amp; Airdrop &amp; Champion pot
L",Kerabatpickaw
1597626704071213057,We're just over a week into the #worldcup and the world's media have turned their back on the climate issues. There https://t.co/U1uUI3kh4s,dresscodeshirts
1597284288101507073,B e a u t i f u l  1-0 #BRASUI #WorldCup,Gee_McK
1597284286209880064,"Who's looking forward to the England Wales game tomorrow...! 
Finding out about the Harry Kane Foundation's work wi https://t.co/7xWLZd47YT",LouisapilbeamTV
1597284285693988866,"RT @HananyaNaftali: Lets talk about the elephant in the room.

While Arab football fans boycott Israelis at the World Cup, they happily us",Drake29447802
