,user,text
0,deoragunnu,"𝗣𝗿𝗲𝗱𝗶𝗰𝘁 𝗮𝗻𝗱 𝗪𝗶𝗻 𝗘𝗰𝘂𝗮𝗱𝗼𝗿 𝘃𝘀 𝗦𝗲𝗻𝗲𝗴𝗮𝗹 𝗙𝗶𝗳𝗮 𝗪𝗼𝗿𝗹𝗱 𝗖𝘂𝗽 𝗼𝗻 𝟮𝟵 𝗡𝗼𝘃 𝟮𝟬𝟮𝟮
#unimoni #contestalert #contest #contestalerindia #contestindia #worldcup #worldcup2022 #football #prediction #worldcupprediction #winner #ecuador #senegal https://t.co/wGZ8L2cD9q"
1,zarrengil,"Dušan Vlahović, one of Serbia’s players, appears to have hurt himself during a match.  #WorldCup https://t.co/RwpCttQ5of"
2,Ryan_ms28,"Just recorded a Matchday 3 Wildcard Video. Let me know what you think 🙂

https://t.co/O2OuJjj5Dp

#FIFAWorldCupQatar2022 #WorldCup #WorldCupFantasy"
3,akashmonu2006,"#Spain 🇪🇸vs #Germany🇩🇪

 50$  #CRO +10 Boxes🎁

👉 ❤️ 🔁 follow
👉Predict the winner (or draw) + use #FIFAWorldCup #QuatarWorldCup2022 
👉 Join #Discord (link 🌳)

Only correct predictions will be considered⚽

#crofam  #CronosChain  #soccer #WorldCup  #Giveaways #spainvsgermany https://t.co/1yuXQ7hcAR"
4,ray_1014,"FIFA #ワールドカップ カタール2022🏆
#SAMURAIBLUE 
11/27 試合後コメント📝

🔷14 FP #伊東純也  🔷

#つな超え #新しい景色を2022
#jfa #daihyo #サッカー日本代表 
#worldcup #FIFAWorldCup https://t.co/Bs1P2TUJph"
5,CFC_RICK_1985,"Who do you think starts for #Portugal against #Uruguay in tonight's #WorldCup clash?

https://t.co/QrBRDD51bK"
6,Johncpfc68,"Good luck, @jordan_ayew9 💪🇬🇭

#CPFC | #WorldCup https://t.co/h8i4BFptZg"
7,okxweb3,"⚽️@idexo_io + @okxweb3 #WorldCup fun!

🥳 Get 50 #OKX #FootballCup #NFTs and share the total prize pool of $2million! 

👇To win 
1. Follow @idexo_io + @okxweb3
 
2. Download OKX App, create or import a wallet: https://t.co/RfnrJmJ8LA

3. Fill the form: https://t.co/E83u2nldzK https://t.co/bRJv8VGiRE"
8,Bil950925,"⚽ #Worldcup is around the corner and https://t.co/75wFXJL2Zp is all set to start this #FIFAWorldCup with a massive giveaways 🤑

You won't want to miss any second of the #Qatar2022 😍

Join Coco's Carnival 👉 https://t.co/vvUxJySsrf https://t.co/pCBIG3mklu"
9,BillDevizes,"Not only did they kill journalist #ShireenAbuAkler, they attack her pall-bearers: israelis having a hard time at the #WorldCup? @Jill_Azzouzi https://t.co/A8I4JjJMy7"
10,Pat_mboma,How can Africa win the #WorldCup if we are consistently victims of bad refereeing decisions? The VAR was brought to cure the 2010 Suarez injustice. The VAR did not work or called to do its job against Portugal. Which technology do we need next to pacify us? https://t.co/cGUKtSzmyV
11,Vaibhav47438691,"@Unimoni_India Australia
#unimoni #contestalert #contest #contestalerindia #contestindia #worldcup #worldcup2022 #football  #winner #poland #argentina #polarg #polvsarg"
